"reactome_stId_number.raw: Descending",Count
6799990,"3,423"
75035,"3,409"
2029481,"3,407"
389960,"3,403"
8939242,"3,397"
4615885,"3,388"
3322077,"3,387"
1222352,"3,385"
163210,"3,385"
390466,"3,374"
72187,"3,374"
199920,"3,372"
75072,"3,371"
166665,"3,369"
2453864,"3,365"
1502540,"3,363"
1234176,"3,358"
71737,"3,358"
168638,"3,356"
73779,"3,342"
1169091,"3,337"
200425,"3,336"
8955332,"3,332"
5693579,"3,331"
2160456,"3,328"
190828,"3,326"
912694,"3,319"
6804115,"3,306"
2424491,"3,296"
2644602,"3,290"
5676934,"3,284"
69613,"3,282"
2894858,"3,272"
389958,"3,271"
73777,"3,266"
2299718,"3,263"
264870,"3,257"
8850843,"3,253"
392518,"3,247"
9014843,"3,243"
110314,"3,242"
6785631,"3,232"
8963676,"3,230"
5250941,"3,229"
5654741,"3,229"
8939902,"3,221"
8849932,"3,219"
196807,"3,211"
3296482,"3,210"
8941237,"3,196"
5694530,"3,195"
350054,"3,188"
5213460,"3,188"
170822,"3,187"
380270,"3,187"
156588,"3,184"
162599,"3,184"
456926,"3,183"
168176,"3,182"
426496,"3,178"
5578749,"3,178"
8939246,"3,173"
933542,"3,173"
173623,"3,169"
3304347,"3,166"
8876198,"3,166"
1839124,"3,161"
72202,"3,150"
3000480,"3,148"
444473,"3,147"
264876,"3,146"
166786,"3,144"
5362768,"3,141"
70370,"3,138"
4420332,"3,136"
389977,"3,135"
196791,"3,134"
2644606,"3,134"
3928665,"3,129"
917729,"3,127"
2644605,"3,119"
159236,"3,117"
937061,"3,115"
196757,"3,111"
5545483,"3,108"
2871796,"3,106"
5423646,"3,106"
936440,"3,095"
622312,"3,088"
2029485,"3,084"
389356,"3,084"
349425,"3,081"
139915,"3,075"
350562,"3,075"
351906,"3,074"
400508,"3,073"
3560801,"3,071"
1168372,"3,068"
4086400,"3,068"
180585,"3,054"
166208,"3,052"
5357905,"3,050"
975138,"3,046"
5083625,"3,045"
5685938,"3,044"
68952,"3,043"
388844,"3,033"
5218900,"3,033"
6781827,"3,033"
8937144,"3,033"
69304,"3,024"
674695,"3,013"
210745,"3,009"
432722,"3,009"
9006115,"3,009"
8876384,"3,008"
5637810,"3,004"
5693568,"3,003"
450341,"3,002"
1638091,"3,000"
71384,"3,000"
2894862,"2,996"
5696399,"2,996"
1362277,"2,991"
4641265,"2,991"
2871837,"2,990"
9008059,"2,978"
8951671,"2,977"
69202,"2,976"
5603041,"2,974"
390471,"2,973"
190861,"2,971"
399721,"2,970"
5625900,"2,967"
8941855,"2,958"
68884,"2,956"
5675482,"2,946"
1660662,"2,944"
6782210,"2,944"
3232118,"2,942"
389513,"2,940"
2173788,"2,938"
5654743,"2,937"
5660489,"2,929"
8866654,"2,927"
8964043,"2,923"
5693554,"2,916"
8869496,"2,912"
354194,"2,911"
76042,"2,904"
1461973,"2,900"
372708,"2,900"
5223345,"2,898"
69273,"2,895"
2559584,"2,894"
2022377,"2,891"
190241,"2,881"
181438,"2,880"
8986944,"2,876"
1251985,"2,870"
8863795,"2,865"
380259,"2,864"
1362300,"2,857"
3560783,"2,854"
9020958,"2,854"
179837,"2,846"
8951911,"2,836"
8866376,"2,833"
5625970,"2,830"
8876725,"2,826"
5690714,"2,823"
6804758,"2,823"
1236382,"2,814"
170670,"2,809"
5638302,"2,809"
194313,"2,805"
5339700,"2,802"
176408,"2,801"
187687,"2,800"
352230,"2,799"
844456,"2,797"
174184,"2,796"
176409,"2,794"
8934903,"2,785"
2871809,"2,781"
8984722,"2,779"
182971,"2,778"
75157,"2,771"
2995383,"2,761"
3928663,"2,757"
6803207,"2,755"
380284,"2,753"
416700,"2,753"
8939247,"2,747"
8963898,"2,747"
174154,"2,740"
8866911,"2,738"
5607761,"2,733"
198323,"2,731"
6782135,"2,730"
211981,"2,724"
176814,"2,722"
913709,"2,719"
75896,"2,715"
8848584,"2,713"
196025,"2,704"
8941332,"2,700"
936837,"2,694"
69478,"2,693"
68827,"2,689"
375170,"2,681"
69229,"2,681"
113507,"2,679"
72165,"2,678"
9018519,"2,676"
5357956,"2,670"
2730905,"2,665"
389357,"2,662"
1306955,"2,654"
5218920,"2,653"
450321,"2,647"
427413,"2,646"
445144,"2,646"
2173795,"2,643"
69601,"2,632"
3371378,"2,631"
210500,"2,630"
180534,"2,629"
3642279,"2,628"
3311021,"2,626"
5610780,"2,626"
5673000,"2,624"
5602410,"2,621"
5083636,"2,617"
8934593,"2,616"
422085,"2,614"
5658442,"2,606"
933543,"2,606"
426486,"2,605"
5689603,"2,603"
69017,"2,603"
418889,"2,600"
1300645,"2,594"
2980766,"2,594"
5687613,"2,593"
163560,"2,591"
1963640,"2,591"
4570464,"2,589"
3656237,"2,583"
5578768,"2,583"
167158,"2,580"
1660661,"2,578"
2197563,"2,576"
5218921,"2,570"
8952158,"2,569"
73854,"2,562"
1971475,"2,557"
5083632,"2,549"
163765,"2,548"
6788467,"2,548"
4641257,"2,540"
110313,"2,539"
432720,"2,539"
1253288,"2,536"
438066,"2,535"
2892245,"2,529"
5365859,"2,528"
68689,"2,527"
8981607,"2,526"
1963642,"2,525"
5674404,"2,524"
877312,"2,524"
68911,"2,520"
8941326,"2,518"
451326,"2,510"
5620924,"2,509"
432040,"2,505"
75815,"2,505"
164843,"2,496"
203765,"2,496"
198203,"2,490"
8866906,"2,483"
390696,"2,474"
438064,"2,472"
5696394,"2,472"
8854050,"2,469"
174362,"2,465"
4551638,"2,462"
163359,"2,460"
2995410,"2,459"
77387,"2,452"
69610,"2,446"
202670,"2,445"
3656253,"2,432"
420029,"2,430"
5655291,"2,426"
190873,"2,425"
113418,"2,424"
5621575,"2,423"
69186,"2,421"
167044,"2,417"
5603029,"2,415"
2978092,"2,410"
167172,"2,408"
3656244,"2,408"
210746,"2,405"
5654221,"2,404"
5696400,"2,402"
9013694,"2,402"
198725,"2,397"
933541,"2,393"
3928664,"2,389"
446193,"2,387"
432030,"2,386"
5656169,"2,385"
418360,"2,378"
419812,"2,370"
8978934,"2,370"
195399,"2,368"
2151209,"2,367"
379716,"2,367"
2993913,"2,365"
380287,"2,361"
1660499,"2,360"
1236973,"2,358"
2691230,"2,357"
168179,"2,354"
75955,"2,352"
110056,"2,351"
442742,"2,349"
5685939,"2,349"
418359,"2,346"
179419,"2,342"
5654695,"2,342"
8941858,"2,339"
193648,"2,338"
5602498,"2,338"
5689896,"2,328"
418457,"2,323"
5140745,"2,320"
5609975,"2,315"
168188,"2,314"
209560,"2,313"
198693,"2,305"
210744,"2,302"
189085,"2,300"
5661270,"2,300"
2470946,"2,299"
5576893,"2,299"
174417,"2,298"
532668,"2,298"
2473224,"2,296"
5336415,"2,296"
74259,"2,295"
390450,"2,294"
5610785,"2,294"
69091,"2,292"
381676,"2,291"
4641262,"2,290"
8948751,"2,286"
111933,"2,284"
5693537,"2,283"
8963888,"2,281"
6804759,"2,276"
8963889,"2,274"
3301854,"2,273"
199420,"2,269"
5696397,"2,265"
5621480,"2,264"
2428933,"2,261"
5655332,"2,261"
8963901,"2,261"
6811436,"2,257"
400042,"2,256"
5607763,"2,256"
392154,"2,255"
6782315,"2,255"
194306,"2,252"
210990,"2,248"
5576894,"2,245"
209952,"2,243"
212676,"2,242"
196836,"2,238"
912631,"2,238"
5603027,"2,237"
5339716,"2,233"
165054,"2,231"
5654727,"2,226"
917977,"2,226"
6808764,"2,225"
2173791,"2,224"
2997661,"2,224"
6798163,"2,222"
204174,"2,220"
167161,"2,219"
173736,"2,219"
159231,"2,212"
2172179,"2,208"
399954,"2,206"
5576886,"2,206"
191859,"2,202"
203927,"2,198"
113510,"2,197"
1474151,"2,193"
6814122,"2,189"
3656535,"2,186"
1839117,"2,178"
168276,"2,176"
1793185,"2,175"
8854214,"2,175"
8964038,"2,174"
442982,"2,172"
77073,"2,169"
181431,"2,167"
1433559,"2,166"
193639,"2,166"
392851,"2,165"
179812,"2,164"
5696395,"2,164"
4608870,"2,163"
4641258,"2,161"
70635,"2,161"
1810476,"2,160"
69416,"2,160"
977347,"2,157"
8940973,"2,154"
2408517,"2,152"
399997,"2,145"
204998,"2,141"
210747,"2,140"
977068,"2,136"
6804760,"2,134"
164952,"2,130"
2022928,"2,129"
5221030,"2,126"
5467333,"2,121"
5635851,"2,119"
8866427,"2,119"
1606322,"2,117"
77069,"2,116"
111452,"2,110"
8943723,"2,109"
400685,"2,108"
77068,"2,108"
3656225,"2,101"
8939243,"2,099"
159234,"2,098"
3295583,"2,094"
8935964,"2,094"
6785470,"2,092"
1296052,"2,090"
112411,"2,083"
4085001,"2,079"
181429,"2,077"
75108,"2,077"
8875513,"2,077"
8983432,"2,077"
392451,"2,064"
74749,"2,064"
6781823,"2,062"
8853338,"2,062"
4419969,"2,061"
77071,"2,061"
162699,"2,057"
1369062,"2,055"
113430,"2,053"
2468052,"2,048"
399719,"2,043"
8865999,"2,043"
416572,"2,042"
450302,"2,039"
162594,"2,037"
2644607,"2,037"
111457,"2,036"
5668599,"2,033"
5656121,"2,031"
71182,"2,030"
180292,"2,029"
9020558,"2,026"
1462054,"2,025"
1296065,"2,018"
9006335,"2,017"
6784531,"2,016"
73817,"2,014"
991365,"2,014"
1250347,"2,013"
1237112,"2,011"
8849474,"2,008"
212718,"2,007"
8949664,"2,007"
1300644,"2,003"
2025928,"2,002"
5576890,"1,998"
112040,"1,996"
83936,"1,995"
159227,"1,994"
3134963,"1,991"
3772470,"1,988"
8857538,"1,986"
2660825,"1,983"
203615,"1,979"
5619099,"1,978"
75953,"1,977"
983140,"1,976"
5610783,"1,975"
180786,"1,965"
447041,"1,965"
167162,"1,964"
111471,"1,963"
399956,"1,957"
983156,"1,950"
1855204,"1,949"
5651801,"1,947"
5210891,"1,945"
3323169,"1,944"
429947,"1,943"
189483,"1,941"
390666,"1,940"
901042,"1,939"
9018677,"1,938"
8941284,"1,936"
918233,"1,933"
418885,"1,931"
8853383,"1,931"
1295596,"1,930"
164378,"1,930"
