reactome_stId_number.raw: Descending,Count
390696,"2,479"
8865999,"2,479"
113430,"2,475"
166020,"2,475"
450385,"2,475"
937041,"2,475"
168927,"2,474"
9022537,"2,474"
447041,"2,471"
72130,"2,470"
5674499,"2,469"
373756,"2,466"
50949,"2,466"
450520,"2,450"
196819,"2,447"
425410,"2,446"
77286,"2,445"
159854,"2,442"
114294,"2,438"
1222499,"2,438"
210455,"2,438"
447038,"2,437"
6811438,"2,437"
159763,"2,434"
3229121,"2,429"
901042,"2,427"
163615,"2,418"
749476,"2,418"
1250342,"2,411"
9013973,"2,408"
392170,"2,406"
211935,"2,404"
5609975,"2,404"
9027307,"2,403"
166662,"2,400"
9018682,"2,396"
2142700,"2,393"
110373,"2,392"
5654706,"2,391"
